condition,sender_type,receiver_type,raw_attention_mean,n_directed_edges,zero_completed_no_edge,rank_from_top,n_complete_directed_type_pairs
pre_interaction,Hatching Gland,Yolk Syncytial Layer,0.051215942949056549,2,False,5,196
pre_interaction,Hatching Gland,"Yolk Syncytial Layer, Periderm",0.043738048523664398,3,False,9,196
pre_interaction,"Immature Eye, Midbrain",Angioblastic Mesenchymal Cell,0.0281830724328756,5,False,103,196
pre_interaction,"Immature Eye, Midbrain",Erythroid Lineage Cell,0,0,True,119,196
pre_interaction,"Immature Eye, Midbrain",Forebrain,0.032003304056291024,28,False,65,196
pre_interaction,"Immature Eye, Midbrain",Hatching Gland,0.030945481732487599,1,False,85,196
pre_interaction,"Immature Eye, Midbrain","Immature Eye, Midbrain",0.029494734186875145,19,False,97,196
pre_interaction,"Immature Eye, Midbrain",Nervous System,0.026166791208088354,25,False,113,196
pre_interaction,"Immature Eye, Midbrain",Neural Crest,0.031267435782972461,68,False,78,196
pre_interaction,"Immature Eye, Midbrain","Neural Crest, Otic Vesicle",0.03245644085109229,8,False,60,196
pre_interaction,"Immature Eye, Midbrain",Notochord,0,0,True,119,196
pre_interaction,"Immature Eye, Midbrain",Pronephros,0,0,True,119,196
pre_interaction,"Immature Eye, Midbrain","Segmental Plate, Tail Bud",0,0,True,119,196
pre_interaction,"Immature Eye, Midbrain",Somite,0,0,True,119,196
pre_interaction,"Immature Eye, Midbrain",Yolk Syncytial Layer,0,0,True,119,196
pre_interaction,"Immature Eye, Midbrain","Yolk Syncytial Layer, Periderm",0,0,True,119,196
pre_interaction,Nervous System,Angioblastic Mesenchymal Cell,0.031633706375335614,84,False,73,196
pre_interaction,Nervous System,Erythroid Lineage Cell,0.035488313296809737,8,False,37,196
pre_interaction,Nervous System,Forebrain,0.031478748056133779,169,False,75,196
pre_interaction,Nervous System,Hatching Gland,0.052362034097313853,2,False,4,196
pre_interaction,Nervous System,"Immature Eye, Midbrain",0.031947560253597393,21,False,66,196
pre_interaction,Nervous System,Nervous System,0.031064484587593613,925,False,82,196
pre_interaction,Nervous System,Neural Crest,0.030412444000649304,481,False,90,196
pre_interaction,Nervous System,"Neural Crest, Otic Vesicle",0.030626066582044534,64,False,88,196
pre_interaction,Nervous System,Notochord,0.0335597641391693,403,False,49,196
pre_interaction,Nervous System,Pronephros,0.039650873281061601,2,False,19,196
pre_interaction,Nervous System,"Segmental Plate, Tail Bud",0.027251566139360219,6,False,109,196
pre_interaction,Nervous System,Somite,0.025475164720167684,12,False,115,196
pre_interaction,Nervous System,Yolk Syncytial Layer,0,0,True,119,196
pre_interaction,Nervous System,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
pre_interaction,Neural Crest,Angioblastic Mesenchymal Cell,0.032232051899578999,192,False,63,196
pre_interaction,Neural Crest,Erythroid Lineage Cell,0,0,True,119,196
pre_interaction,Neural Crest,Forebrain,0.031007771160114848,220,False,84,196
pre_interaction,Neural Crest,Hatching Gland,0.039765787513359678,23,False,18,196
pre_interaction,Neural Crest,"Immature Eye, Midbrain",0.028658536303302482,46,False,101,196
pre_interaction,Neural Crest,Nervous System,0.031762438929119813,498,False,69,196
pre_interaction,Neural Crest,Neural Crest,0.030256730398676105,1093,False,93,196
pre_interaction,Neural Crest,"Neural Crest, Otic Vesicle",0.033164118099111004,88,False,53,196
pre_interaction,Neural Crest,Notochord,0.027399313846128197,102,False,108,196
pre_interaction,Neural Crest,Pronephros,0.047706138342618901,2,False,6,196
pre_interaction,Neural Crest,"Segmental Plate, Tail Bud",0.030441312585025974,4,False,89,196
pre_interaction,Neural Crest,Somite,0.030373667246631989,31,False,91,196
pre_interaction,Neural Crest,Yolk Syncytial Layer,0,0,True,119,196
pre_interaction,Neural Crest,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
pre_interaction,"Neural Crest, Otic Vesicle",Angioblastic Mesenchymal Cell,0.036234421448575076,9,False,32,196
pre_interaction,"Neural Crest, Otic Vesicle",Erythroid Lineage Cell,0,0,True,119,196
pre_interaction,"Neural Crest, Otic Vesicle",Forebrain,0.028990804483847915,14,False,100,196
pre_interaction,"Neural Crest, Otic Vesicle",Hatching Gland,0.041266232728958102,1,False,13,196
pre_interaction,"Neural Crest, Otic Vesicle","Immature Eye, Midbrain",0.035654654726386001,4,False,36,196
pre_interaction,"Neural Crest, Otic Vesicle",Nervous System,0.03080981362145389,80,False,86,196
pre_interaction,"Neural Crest, Otic Vesicle",Neural Crest,0.031231758795177682,119,False,79,196
