time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
2.5,"[""WNT2B"",""FZD4_LRP6""]",WNT2B,FZD4_LRP6,WNT2B_FZD4_LRP6,0.026871073900732786,0.006041933483010985,191,22,22,0,484,sfrpEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD4_LRP6""]",WNT2B,FZD4_LRP6,WNT2B_FZD4_LRP6,0.049969820847111976,0.026385603445362425,170,21,21,0,441,reaEGC,reaEGC
3.5,"[""WNT2B"",""FZD4_LRP6""]",WNT2B,FZD4_LRP6,WNT2B_FZD4_LRP6,0.03741123509829128,0.008094491013404105,194,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT2B"",""FZD4_LRP6""]",WNT2B,FZD4_LRP6,WNT2B_FZD4_LRP6,0.0072909257397664835,0.0036709362446296083,133,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD5_LRP5""]",WNT2B,FZD5_LRP5,WNT2B_FZD5_LRP5,0.03087421884030224,0.011433487580323112,94,18,18,0,324,wntEGC,sfrpEGC
0.5,"[""WNT2B"",""FZD5_LRP5""]",WNT2B,FZD5_LRP5,WNT2B_FZD5_LRP5,0.05568569163873367,0.029915416510048864,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD5_LRP5""]",WNT2B,FZD5_LRP5,WNT2B_FZD5_LRP5,0.04589737994335404,0.019349035894831428,107,19,19,0,361,wntEGC,sfrpEGC
1.5,"[""WNT2B"",""FZD5_LRP5""]",WNT2B,FZD5_LRP5,WNT2B_FZD5_LRP5,0.09014104462210697,0.04514621642095029,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD5_LRP5""]",WNT2B,FZD5_LRP5,WNT2B_FZD5_LRP5,0.05463202751570295,0.015958146622009867,115,18,18,0,324,wntEGC,sfrpEGC
2.5,"[""WNT2B"",""FZD5_LRP5""]",WNT2B,FZD5_LRP5,WNT2B_FZD5_LRP5,0.10901255720727368,0.03636990076239207,191,22,22,0,484,sfrpEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD5_LRP5""]",WNT2B,FZD5_LRP5,WNT2B_FZD5_LRP5,0.09412882199773208,0.046506319486990896,158,21,21,0,441,reaEGC,reaEGC
3.5,"[""WNT2B"",""FZD5_LRP5""]",WNT2B,FZD5_LRP5,WNT2B_FZD5_LRP5,0.14501408205954763,0.04728423275574264,194,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT2B"",""FZD5_LRP5""]",WNT2B,FZD5_LRP5,WNT2B_FZD5_LRP5,0.035125835495581154,0.01621518692584872,118,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD5_LRP6""]",WNT2B,FZD5_LRP6,WNT2B_FZD5_LRP6,0.03087421884030224,0.011433487580323112,94,18,18,0,324,wntEGC,sfrpEGC
0.5,"[""WNT2B"",""FZD5_LRP6""]",WNT2B,FZD5_LRP6,WNT2B_FZD5_LRP6,0.05568569163873367,0.029915416510048864,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD5_LRP6""]",WNT2B,FZD5_LRP6,WNT2B_FZD5_LRP6,0.0438935276337238,0.019349035894831428,107,19,19,0,361,wntEGC,sfrpEGC
1.5,"[""WNT2B"",""FZD5_LRP6""]",WNT2B,FZD5_LRP6,WNT2B_FZD5_LRP6,0.09014104462210697,0.04514621642095029,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD5_LRP6""]",WNT2B,FZD5_LRP6,WNT2B_FZD5_LRP6,0.05463202751570295,0.015958146622009867,115,18,18,0,324,wntEGC,sfrpEGC
2.5,"[""WNT2B"",""FZD5_LRP6""]",WNT2B,FZD5_LRP6,WNT2B_FZD5_LRP6,0.10901255720727368,0.03636990076239207,191,22,22,0,484,sfrpEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD5_LRP6""]",WNT2B,FZD5_LRP6,WNT2B_FZD5_LRP6,0.09412882199773208,0.046506319486990896,158,21,21,0,441,reaEGC,reaEGC
3.5,"[""WNT2B"",""FZD5_LRP6""]",WNT2B,FZD5_LRP6,WNT2B_FZD5_LRP6,0.14501408205954763,0.04728423275574264,194,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT2B"",""FZD5_LRP6""]",WNT2B,FZD5_LRP6,WNT2B_FZD5_LRP6,0.035125835495581154,0.01621518692584872,118,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD6_LRP5""]",WNT2B,FZD6_LRP5,WNT2B_FZD6_LRP5,0.18330842566869343,0.09235935294589616,145,18,18,0,324,wntEGC,wntEGC
0.5,"[""WNT2B"",""FZD6_LRP5""]",WNT2B,FZD6_LRP5,WNT2B_FZD6_LRP5,0.12998002803280767,0.07937217884843352,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD6_LRP5""]",WNT2B,FZD6_LRP5,WNT2B_FZD6_LRP5,0.10431604471175103,0.069533263796242,131,19,19,0,361,wntEGC,wntEGC
1.5,"[""WNT2B"",""FZD6_LRP5""]",WNT2B,FZD6_LRP5,WNT2B_FZD6_LRP5,0.21681109185124697,0.11904322685571339,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD6_LRP5""]",WNT2B,FZD6_LRP5,WNT2B_FZD6_LRP5,0.18180213273939702,0.06697659399851456,176,18,18,0,324,wntEGC,reaEGC
2.5,"[""WNT2B"",""FZD6_LRP5""]",WNT2B,FZD6_LRP5,WNT2B_FZD6_LRP5,0.26122632920907846,0.07168531162215225,191,22,22,0,484,wntEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD6_LRP5""]",WNT2B,FZD6_LRP5,WNT2B_FZD6_LRP5,0.3364215723243682,0.1866423809619619,198,21,21,0,441,wntEGC,wntEGC
