time,cell_index,x,y,growth,final_knn10_brain_support,retained_in_figure
2.75,13419,0.90890193,3.6630213,0.119621016,1,True
2.75,14876,-0.09084036,2.66192,0.003997287,1,True
2.75,14928,0.9408942,2.8972483,0.046643414,1,True
2.75,15338,-0.27613568,2.8607726,0.062257774,1,True
2.75,17735,1.1889143,2.7021797,0.03655614,1,True
2.75,17834,0.9643141,2.2378817,0.034099422,1,True
2.75,19121,0.0049494905,2.855556,0.022955043,1,True
2.75,24714,-0.54153293,2.7288213,0.03666676,1,True
2.75,27526,-0.5919279,2.7046251,0.27646944,1,True
2.75,30444,-0.4392692,2.736398,0.17480412,1,True
2.75,32682,-1.2333943,3.4251337,0.08112882,1,True
2.75,33030,-1.1114124,3.7256792,0.03577435,1,True
2.75,34351,0.8914088,2.3447998,0.076987326,1,True
2.75,35586,1.2257445,2.6800218,-0.007100071,1,True
2.75,36025,-0.18704692,4.279586,0.04375509,1,True
2.75,36027,0.87226695,2.3610868,0.051158756,1,True
2.75,37331,1.0369985,2.9343572,0.07091597,1,True
2.75,38403,0.26643935,2.685277,0.06961728,1,True
2.75,38609,-0.9387437,2.7989895,0.10056534,1,True
2.75,44000,-0.3146151,4.2740993,0.043841816,1,True
2.75,44867,-0.9692758,3.0241532,0.017744629,1,True
2.75,47904,-0.29028958,2.851902,0.18781398,1,True
2.75,48851,-0.49084634,2.6630657,0.0335164,1,True
2.75,50026,-1.2794125,2.9101768,0.030314168,1,True
2.75,52681,0.92898536,2.1856196,-0.00770423,1,True
2.75,53642,0.8759295,2.9579341,0.09977769,1,True
2.75,57052,0.60773236,2.6351728,0.12591623,1,True
2.75,62126,-0.7502281,0.5325648,0.29064617,1,True
2.75,62470,0.59370434,2.6112275,0.114353664,1,True
2.75,62471,0.64592004,2.659481,0.11566483,1,True
2.75,74059,0.89738345,2.54107,0.026212813,1,True
2.75,75286,0.74457675,2.6647766,0.005259473,1,True
2.75,82222,0.6434323,2.4334247,0.057968803,1,True
2.75,84535,0.86809576,2.772059,0.112788625,1,True
2.75,87394,0.9652971,3.543654,0.14416067,1,True
2.75,88765,1.1598675,2.7423356,-0.024187557,1,True
2.75,91026,0.9251967,2.019832,-0.022347203,1,True
2.75,94139,-1.0181061,3.0473485,-0.021166977,1,True
2.75,95027,0.6722316,2.6658845,-0.03855253,1,True
2.75,96119,-0.5620271,2.7553992,-0.026033286,1,True
2.75,96710,0.9620146,2.2960615,-0.08204904,1,True
2.75,97050,0.74143094,2.684446,-0.015424363,1,True
2.75,99180,0.8902648,2.7660007,-0.06984576,1,True
2.75,100176,0.96630836,2.5642948,-0.06490225,1,True
